episode,pio_usd,joint_usd,spot_only_usd,as_only_usd
58,609.6330896227407,73.25306,-35.66374,108.46062
59,501.2236583055371,80.266846,23.102686,57.40975
60,367.22638323687363,8.498684,-10.912464,19.53643
61,446.72427707454887,43.962456,39.455223,4.468125
62,536.5904954589653,-58.486565,-78.57128,20.698801
63,470.22806199030026,-98.13094,-125.13157,28.51421
64,529.1383288060033,6.747614,-57.557796,65.51511
65,545.4727302832263,111.12902,46.522476,64.01599
66,642.0206755242177,182.97668,111.00871,69.45265
67,599.3911186230724,359.93463,272.324,87.86158
68,758.3714463006672,566.78375,397.01617,170.64072
69,643.642442694016,326.69873,111.001434,215.27895
70,633.1331154463011,337.84622,224.90656,113.8854
71,574.0663473992886,312.63406,234.4237,77.912895
72,630.9668427906633,309.76453,96.6951,212.06203
73,541.5023819335179,256.33984,156.9084,99.75614
74,647.213679458478,434.5023,298.26355,137.82812
75,587.7619105386871,359.82098,253.57635,107.25907
76,518.7607200973601,328.1803,247.12578,81.98806
77,423.9628269630092,142.35481,106.77622,35.590244
78,434.7397557999121,178.48077,130.44563,47.65645
79,569.6884215119115,294.40506,198.97443,101.55657
80,622.1285715737482,294.24997,171.17094,124.65872
81,556.2391579331583,312.538,257.2682,54.828114
82,704.8849871521799,506.8807,395.8642,111.95262
83,554.0476076574598,317.93842,239.69926,77.87582
84,479.18179041813823,142.95634,97.289185,45.370266
85,439.4155020526543,84.24115,58.683434,25.35324
86,558.3858214339141,203.43558,144.39874,59.12818
87,485.6408650354424,304.1312,247.78032,55.36854
88,440.16884116269443,149.28482,115.35233,33.38238
89,403.4960710006339,128.00844,102.44784,25.613903
90,5545.5164735973785,6006.95,3592.8462,2415.1992
91,36834.84326476389,31968.945,13712.794,18256.072
92,10710.6882575442,9365.731,4122.8545,5241.2593
93,1039.2271288618929,1095.3761,715.4035,382.29572
94,688.7666433271835,662.5296,467.00543,201.15573
95,318.2748029963607,-54.220356,-98.08287,42.756245
96,363.93635136263856,2.357801,-40.39458,41.56675
97,355.8952231717978,81.863174,62.710686,19.691547
98,249.73650204513555,-101.66302,-153.58759,49.983448
99,308.18725415202283,-77.409035,-146.26756,65.085594
100,319.9825520871592,-39.425133,-120.33294,78.538925
101,416.87282064162787,11.271636,-75.04229,81.26768
102,481.7275028706029,305.032,213.95465,91.06946
103,400.10771391459326,-15.417166,-102.40639,80.96457
104,303.8005921124136,54.406223,6.0257626,47.653812
105,335.608216321414,100.90343,64.39283,36.845562
106,350.9864526637412,98.41594,42.225998,55.538475
107,382.8914902313158,81.97749,-2.4352026,80.803345
108,372.08124744354774,32.82495,-82.00997,107.44282
109,390.0784278635011,83.16426,-25.445393,101.92856
110,493.73350616949466,380.3882,272.0155,108.49934
111,300.85118840243763,-28.901423,-97.83229,67.092834
112,242.18214388510447,-88.88226,-172.69908,80.45967
113,405.35420391563764,112.61956,8.281911,101.15338
114,498.21561737228666,265.4963,154.06587,112.074524
115,521.7350979549025,233.57811,6.979873,225.29382
116,375.58479479593626,126.62614,43.77251,83.06095
117,337.03036792444726,12.264982,-80.37108,91.984055
118,266.2005468333258,-14.266186,-52.200497,37.917088
119,256.9180352056805,56.51506,35.370144,21.221806
120,406.0498762940858,103.146866,29.296762,73.15799
121,491.75883274453247,267.41937,160.0538,110.28563
122,409.2416033918522,197.94772,138.98863,59.69946
123,428.6549111694118,193.57314,131.44254,61.465874
124,283.2004170775164,-16.962368,-57.63276,41.039413
125,242.5724738361415,-121.15624,-197.6149,76.715546
126,249.61949609677444,-52.782486,-111.128365,58.539722
127,503.3444546238582,282.7726,186.52454,95.343636
128,1493.1198232851207,1579.2745,1182.0304,395.34766
129,1910.1295520055849,1897.8615,1228.8821,668.16736
130,1129.516435576904,948.6402,571.9587,380.6471
131,547.7441243255626,415.19547,271.84314,145.03896
132,1381.7212576565971,1033.7318,-115.884056,1147.913
133,543.6374196982397,226.64981,-119.1896,346.92703
134,869.5518146778443,489.2243,-174.14632,655.6339
135,381.8418303674968,3.9433117,-212.2918,211.17905
136,337.5049769453512,-7.1620526,-138.84781,132.21567
137,505.4749590229152,141.81595,-32.651695,173.32693
138,289.61327242888325,-65.32733,-164.43288,96.47034
139,497.6683404983571,238.90265,151.9185,87.9359
140,302.50649561927395,20.185356,-69.63227,85.66682
141,404.14998757910445,142.35812,37.97496,104.219154
142,359.20943187867556,23.450924,-156.19606,176.51755
143,348.23594191620265,-15.193955,-168.77464,149.79124
144,296.5782601799,-16.312578,-128.62126,108.05146
145,557.6654671884265,375.19894,217.9456,158.20393
146,325.34395763743083,50.454384,-21.571766,71.86614
147,223.44716135764824,-117.60343,-193.71562,77.48754
148,260.5952071915111,-96.07237,-188.91518,92.2406
149,273.23136897753,-77.21567,-168.0154,91.00945
150,343.4522523264631,-9.514512,-150.38092,138.16483
151,287.43982239276914,17.800606,-54.912296,69.585625
152,259.80412957923505,-18.312683,-68.35629,48.019547
153,356.34483499394725,123.89002,54.55524,69.33333
154,287.28891677135056,-27.96796,-128.81233,100.421616
155,387.3685943585734,23.81627,-60.10942,77.258385
156,397.104959874223,100.86335,-15.818517,113.92125
157,379.14358884680007,178.57042,125.10762,53.860806
158,375.17747778164096,158.75467,92.33856,68.21364
159,328.3815140918467,71.59964,-4.062406,69.82033
160,465.42245509215684,243.59894,87.79216,151.97488
161,412.38291818508003,109.95264,-43.38197,150.41252
162,491.60658373543623,239.89095,106.33772,128.76027
163,587.2122093375087,366.05746,206.22899,159.92488
164,554.9060087987458,352.0117,196.68533,162.75833
165,601.4327463486956,342.72723,196.40004,147.53125
166,505.5798747588039,308.17197,185.22386,126.91568
167,337.3805626447621,89.71942,-39.55064,123.74246
168,495.19839226176913,303.37637,151.4298,151.25012
169,488.78204441445854,286.09897,140.75323,148.68927
170,489.0969695737315,290.05743,146.79572,144.36024
171,364.46981521258965,40.042667,-106.35596,132.0781
172,298.5450608812025,9.530686,-116.86536,123.628426
173,321.0738485008355,78.89913,-39.554096,112.11492
174,734.8243365775896,581.1336,339.2057,244.86142
175,649.6833200499524,520.8238,301.70578,222.0364
176,430.5590490075118,198.59166,36.30817,160.66644
177,390.1636450621056,111.85013,-117.21568,223.56316
178,462.489805300769,299.92337,62.224586,235.37167
179,489.4467595732418,339.46027,155.026,183.901
180,630.8032064768055,459.90002,250.33435,216.13123
181,467.73916242084414,222.4769,31.738503,185.75098
182,876.5149876729362,739.58,436.69348,311.56766
183,1629.690957760745,1483.8861,804.1089,681.8959
184,1615.1108003285005,1208.4581,656.24133,552.4129
185,888.0255187755064,773.12006,448.61847,331.92944
186,409.0743615516032,181.08553,-19.355173,195.31157
187,423.61421124372447,216.97447,-1.2494471,208.25494
188,761.1424819939526,623.68445,340.00058,285.952
189,476.6376602281243,246.00299,39.814625,195.5122
190,699.7608277247223,499.80646,147.20682,355.06088
191,620.7603880922944,434.30527,140.59575,292.75143
192,515.7817251950723,318.84808,158.35394,155.14728
193,546.572205200985,305.80252,132.6857,171.25468
194,386.2164831800806,188.15622,72.80552,120.04456
195,523.8233295724367,379.14392,234.9073,155.05241
196,410.91130164322925,190.42215,93.80534,98.1475
197,591.1880143288458,432.48383,248.60258,189.73291
198,555.9238455830618,387.18478,187.8772,206.42311
199,368.1083038474139,143.03801,17.718113,118.19361
200,342.1564620298278,94.74949,-35.47051,123.60304
201,305.9878406566394,59.55205,-44.086758,94.74156
202,689.8936134801365,342.90268,74.15147,265.2788
203,385.34313441881494,196.26501,58.990894,130.79648
204,710.0471837283046,439.37888,170.74603,262.7696
205,385.2522871552067,157.45847,-15.518992,157.79245
206,429.60131222573455,256.11246,49.226994,204.33267
207,875.6378314981438,614.38635,318.2881,294.84595
208,1241.12414758261,1010.0965,534.1565,477.44095
209,1204.3316585613118,906.52625,430.6384,468.06256
210,344.02768975311403,87.83017,2.967791,78.815994
211,689.6193654302169,577.769,375.61536,215.68759
212,397.6999095559648,215.56425,99.11812,127.11086
213,428.56924323793027,202.31772,69.11743,134.64926
214,486.8506000893506,283.37775,127.63379,154.91336
215,1048.0336135599346,768.54266,361.19244,402.7724
216,1465.9274874278124,1087.8162,-163.32538,1238.5593
217,578.0127804780034,286.69147,72.76114,212.99002
218,556.3659833517867,333.2382,41.875275,289.97894
219,597.0478683897801,373.95676,146.6406,234.99266
220,769.0275662867512,471.65594,198.97131,284.4986
221,600.7892835626241,391.1469,105.66972,284.35968
222,937.967100499993,651.4057,282.85257,363.4172
223,1245.7493354723233,878.37225,392.1871,484.75418
224,848.8630971843945,550.31934,180.92418,372.33688
225,1909.4830739328063,1490.174,841.663,648.38727
226,722.5400877341178,497.31476,208.5935,292.80112
227,408.14687928918687,245.72829,74.54738,173.78882
228,486.7382278433093,258.93027,74.557686,184.03975
229,880.6815939680615,544.14777,302.53506,243.48425
230,371.19428570957353,180.54166,101.00294,86.04838
231,558.8137837396866,373.68576,213.64244,166.4111
232,950.7943858246765,684.298,395.3577,290.58084
233,1386.4628349295415,1084.373,695.3748,397.70963
234,1181.3515825355164,727.4422,445.02887,282.54932
235,564.7258594875628,317.65967,180.54752,135.27283
236,701.5369042116471,460.48694,271.74225,188.25606
237,411.7296002822715,91.08529,36.229332,53.267086
238,420.57828187883393,195.07004,133.46822,62.725605
239,467.43213343165326,195.3941,112.202095,83.88345
240,524.2965890579721,255.03343,150.30006,104.031044
241,437.48424669065724,279.51825,184.42003,95.32185
242,440.0496746154931,263.74606,189.2273,76.05857
243,455.06923949127815,266.29065,186.29276,79.60868
244,380.87184938705155,192.19922,119.57336,72.5642
245,329.6197733617419,64.86636,13.592446,48.744423
246,305.16207088600476,70.01942,12.110199,54.519268
247,370.4052154921911,75.77676,8.778603,62.883694
248,311.1940127015808,30.387714,-23.948582,50.86127
